iter	RMSE
0	6.895389986
1	4.859081782
2	3.627147691
3	2.720360768
4	2.040270576
5	1.530202932
6	1.147652199
7	0.8607391493
8	0.6455543619
9	0.4841657715
10	0.3631243286
11	0.2723432464
12	0.2042574348
13	0.1531930761
14	0.1148948071
15	0.08617110532
16	0.06462832899
17	0.04847124674
18	0.03635343506
19	0.02726507629
20	0.02044880722
21	0.01533660541
22	0.01150245406
23	0.008626840546
24	0.006470130409
25	0.004852597807
26	0.003639448355
27	0.002729586266
28	0.0020471897
29	0.001535392275
30	0.001151544206
31	0.0008636581546
32	0.000647743616
33	0.000485807712
34	0.000364355784
35	0.000273266838
36	0.0002049501285
37	0.0001537125964
38	0.0001152844473
39	8.646333546e-05
40	6.484750159e-05
41	4.863562619e-05
42	3.647671965e-05
43	2.735753973e-05
44	2.05181548e-05
45	1.53886161e-05
46	1.154146208e-05
47	8.656096557e-06
48	6.492072417e-06
49	4.869054312e-06
50	3.651790734e-06
51	2.73884305e-06
52	2.054132288e-06
53	1.540599215e-06
54	1.155449411e-06
55	8.665870573e-07
56	6.499402938e-07
57	4.874552204e-07
58	3.655914162e-07
59	2.741935613e-07
60	2.05645171e-07
61	1.542338782e-07
62	1.156754086e-07
63	8.675655732e-08
64	6.506741789e-08
65	4.880056429e-08
66	3.660042321e-08
67	2.745031699e-08
68	2.058773862e-08
69	1.544080405e-08
70	1.158060348e-08
71	8.685452613e-09
72	6.514090329e-09
73	4.885567756e-09
74	3.664176564e-09
75	2.748133231e-09
76	2.061099954e-09
77	1.545825405e-09
78	1.159369423e-09
79	8.695274449e-10
80	6.52145574e-10
81	4.891099772e-10
82	3.668324932e-10
83	2.751236228e-10
84	2.063419909e-10
85	1.547572091e-10
86	1.16068765e-10
87	8.705163454e-11
88	6.528791808e-11
89	4.896511082e-11
90	3.672382278e-11
91	2.754330582e-11
92	2.065784692e-11
93	1.549374305e-11
94	1.1619899e-11
95	8.715220729e-12
96	6.536732748e-12
97	4.902509683e-12
98	3.676135052e-12
99	2.757848398e-12
100	2.069214897e-12
101	1.551032284e-12
102	1.163193082e-12
103	8.72444879e-13
104	6.546824392e-13
105	4.906337832e-13
106	3.679556649e-13
107	2.767645048e-13
108	2.076337011e-13
109	1.560934091e-13
110	1.166916228e-13
111	8.721358366e-14
112	6.535895299e-14
113	4.949005152e-14
114	3.751699708e-14
115	2.76784189e-14
116	1.997537751e-14
117	1.575108741e-14
118	1.185029819e-14
119	8.195371286e-15
120	6.268583081e-15
121	4.440892099e-15
122	4.242156221e-15
123	4.119810119e-15
124	4.071658748e-15
125	4.035168165e-15
126	4.021398831e-15
127	4.010656666e-15
128	4.002966042e-15
129	4.002966042e-15
130	4.002966042e-15
131	4.002966042e-15
132	4.002966042e-15
133	4.002966042e-15
134	4.002966042e-15
135	4.002966042e-15
136	4.002966042e-15
137	4.002966042e-15
138	4.002966042e-15
139	4.002966042e-15
140	4.002966042e-15
141	4.002966042e-15
142	4.002966042e-15
143	4.002966042e-15
144	4.002966042e-15
145	4.002966042e-15
146	4.002966042e-15
147	4.002966042e-15
148	4.002966042e-15
149	4.002966042e-15
150	4.002966042e-15
151	4.002966042e-15
152	4.002966042e-15
153	4.002966042e-15
154	4.002966042e-15
155	4.002966042e-15
156	4.002966042e-15
157	4.002966042e-15
158	4.002966042e-15
159	4.002966042e-15
160	4.002966042e-15
161	4.002966042e-15
162	4.002966042e-15
163	4.002966042e-15
164	4.002966042e-15
165	4.002966042e-15
166	4.002966042e-15
167	4.002966042e-15
168	4.002966042e-15
169	4.002966042e-15
170	4.002966042e-15
171	4.002966042e-15
172	4.002966042e-15
173	4.002966042e-15
174	4.002966042e-15
175	4.002966042e-15
176	4.002966042e-15
177	4.002966042e-15
178	4.002966042e-15
179	4.002966042e-15
180	4.002966042e-15
181	4.002966042e-15
182	4.002966042e-15
183	4.002966042e-15
184	4.002966042e-15
185	4.002966042e-15
186	4.002966042e-15
187	4.002966042e-15
188	4.002966042e-15
189	4.002966042e-15
190	4.002966042e-15
191	4.002966042e-15
192	4.002966042e-15
193	4.002966042e-15
194	4.002966042e-15
195	4.002966042e-15
196	4.002966042e-15
197	4.002966042e-15
198	4.002966042e-15
199	4.002966042e-15
200	4.002966042e-15
201	4.002966042e-15
202	4.002966042e-15
203	4.002966042e-15
204	4.002966042e-15
205	4.002966042e-15
206	4.002966042e-15
207	4.002966042e-15
208	4.002966042e-15
209	4.002966042e-15
210	4.002966042e-15
211	4.002966042e-15
212	4.002966042e-15
213	4.002966042e-15
214	4.002966042e-15
215	4.002966042e-15
216	4.002966042e-15
217	4.002966042e-15
218	4.002966042e-15
219	4.002966042e-15
220	4.002966042e-15
221	4.002966042e-15
222	4.002966042e-15
223	4.002966042e-15
224	4.002966042e-15
225	4.002966042e-15
226	4.002966042e-15
227	4.002966042e-15
228	4.002966042e-15
229	4.002966042e-15
230	4.002966042e-15
231	4.002966042e-15
232	4.002966042e-15
233	4.002966042e-15
234	4.002966042e-15
235	4.002966042e-15
236	4.002966042e-15
237	4.002966042e-15
238	4.002966042e-15
239	4.002966042e-15
240	4.002966042e-15
241	4.002966042e-15
242	4.002966042e-15
243	4.002966042e-15
244	4.002966042e-15
245	4.002966042e-15
246	4.002966042e-15
247	4.002966042e-15
248	4.002966042e-15
249	4.002966042e-15
250	4.002966042e-15
251	4.002966042e-15
252	4.002966042e-15
253	4.002966042e-15
254	4.002966042e-15
255	4.002966042e-15
256	4.002966042e-15
257	4.002966042e-15
258	4.002966042e-15
259	4.002966042e-15
260	4.002966042e-15
261	4.002966042e-15
262	4.002966042e-15
263	4.002966042e-15
264	4.002966042e-15
265	4.002966042e-15
266	4.002966042e-15
267	4.002966042e-15
268	4.002966042e-15
269	4.002966042e-15
270	4.002966042e-15
271	4.002966042e-15
272	4.002966042e-15
273	4.002966042e-15
274	4.002966042e-15
275	4.002966042e-15
276	4.002966042e-15
277	4.002966042e-15
278	4.002966042e-15
279	4.002966042e-15
280	4.002966042e-15
281	4.002966042e-15
282	4.002966042e-15
283	4.002966042e-15
284	4.002966042e-15
285	4.002966042e-15
286	4.002966042e-15
287	4.002966042e-15
288	4.002966042e-15
289	4.002966042e-15
290	4.002966042e-15
291	4.002966042e-15
292	4.002966042e-15
293	4.002966042e-15
294	4.002966042e-15
295	4.002966042e-15
296	4.002966042e-15
297	4.002966042e-15
298	4.002966042e-15
299	4.002966042e-15
300	4.002966042e-15
301	4.002966042e-15
302	4.002966042e-15
303	4.002966042e-15
304	4.002966042e-15
305	4.002966042e-15
306	4.002966042e-15
307	4.002966042e-15
308	4.002966042e-15
309	4.002966042e-15
310	4.002966042e-15
311	4.002966042e-15
312	4.002966042e-15
313	4.002966042e-15
314	4.002966042e-15
315	4.002966042e-15
316	4.002966042e-15
317	4.002966042e-15
318	4.002966042e-15
319	4.002966042e-15
320	4.002966042e-15
321	4.002966042e-15
322	4.002966042e-15
323	4.002966042e-15
324	4.002966042e-15
325	4.002966042e-15
326	4.002966042e-15
327	4.002966042e-15
328	4.002966042e-15
329	4.002966042e-15
330	4.002966042e-15
331	4.002966042e-15
332	4.002966042e-15
333	4.002966042e-15
334	4.002966042e-15
335	4.002966042e-15
336	4.002966042e-15
337	4.002966042e-15
338	4.002966042e-15
339	4.002966042e-15
340	4.002966042e-15
341	4.002966042e-15
342	4.002966042e-15
343	4.002966042e-15
344	4.002966042e-15
345	4.002966042e-15
346	4.002966042e-15
347	4.002966042e-15
348	4.002966042e-15
349	4.002966042e-15
350	4.002966042e-15
351	4.002966042e-15
352	4.002966042e-15
353	4.002966042e-15
354	4.002966042e-15
355	4.002966042e-15
356	4.002966042e-15
357	4.002966042e-15
358	4.002966042e-15
359	4.002966042e-15
360	4.002966042e-15
361	4.002966042e-15
362	4.002966042e-15
363	4.002966042e-15
364	4.002966042e-15
365	4.002966042e-15
366	4.002966042e-15
367	4.002966042e-15
368	4.002966042e-15
369	4.002966042e-15
370	4.002966042e-15
371	4.002966042e-15
372	4.002966042e-15
373	4.002966042e-15
374	4.002966042e-15
375	4.002966042e-15
376	4.002966042e-15
377	4.002966042e-15
378	4.002966042e-15
379	4.002966042e-15
380	4.002966042e-15
381	4.002966042e-15
382	4.002966042e-15
383	4.002966042e-15
384	4.002966042e-15
385	4.002966042e-15
386	4.002966042e-15
387	4.002966042e-15
388	4.002966042e-15
389	4.002966042e-15
390	4.002966042e-15
391	4.002966042e-15
392	4.002966042e-15
393	4.002966042e-15
394	4.002966042e-15
395	4.002966042e-15
396	4.002966042e-15
397	4.002966042e-15
398	4.002966042e-15
399	4.002966042e-15
400	4.002966042e-15
401	4.002966042e-15
402	4.002966042e-15
403	4.002966042e-15
404	4.002966042e-15
405	4.002966042e-15
406	4.002966042e-15
407	4.002966042e-15
408	4.002966042e-15
409	4.002966042e-15
410	4.002966042e-15
411	4.002966042e-15
412	4.002966042e-15
413	4.002966042e-15
414	4.002966042e-15
415	4.002966042e-15
416	4.002966042e-15
417	4.002966042e-15
418	4.002966042e-15
419	4.002966042e-15
420	4.002966042e-15
421	4.002966042e-15
422	4.002966042e-15
423	4.002966042e-15
424	4.002966042e-15
425	4.002966042e-15
426	4.002966042e-15
427	4.002966042e-15
428	4.002966042e-15
429	4.002966042e-15
430	4.002966042e-15
431	4.002966042e-15
432	4.002966042e-15
433	4.002966042e-15
434	4.002966042e-15
435	4.002966042e-15
436	4.002966042e-15
437	4.002966042e-15
438	4.002966042e-15
439	4.002966042e-15
440	4.002966042e-15
441	4.002966042e-15
442	4.002966042e-15
443	4.002966042e-15
444	4.002966042e-15
445	4.002966042e-15
446	4.002966042e-15
447	4.002966042e-15
448	4.002966042e-15
449	4.002966042e-15
450	4.002966042e-15
451	4.002966042e-15
452	4.002966042e-15
453	4.002966042e-15
454	4.002966042e-15
455	4.002966042e-15
456	4.002966042e-15
457	4.002966042e-15
458	4.002966042e-15
459	4.002966042e-15
460	4.002966042e-15
461	4.002966042e-15
462	4.002966042e-15
463	4.002966042e-15
464	4.002966042e-15
465	4.002966042e-15
466	4.002966042e-15
467	4.002966042e-15
468	4.002966042e-15
469	4.002966042e-15
470	4.002966042e-15
471	4.002966042e-15
472	4.002966042e-15
473	4.002966042e-15
474	4.002966042e-15
475	4.002966042e-15
476	4.002966042e-15
477	4.002966042e-15
478	4.002966042e-15
479	4.002966042e-15
480	4.002966042e-15
481	4.002966042e-15
482	4.002966042e-15
483	4.002966042e-15
484	4.002966042e-15
485	4.002966042e-15
486	4.002966042e-15
487	4.002966042e-15
488	4.002966042e-15
489	4.002966042e-15
490	4.002966042e-15
491	4.002966042e-15
492	4.002966042e-15
493	4.002966042e-15
494	4.002966042e-15
495	4.002966042e-15
496	4.002966042e-15
497	4.002966042e-15
498	4.002966042e-15
499	4.002966042e-15
500	4.002966042e-15
501	4.002966042e-15
502	4.002966042e-15
503	4.002966042e-15
504	4.002966042e-15
505	4.002966042e-15
506	4.002966042e-15
507	4.002966042e-15
508	4.002966042e-15
509	4.002966042e-15
510	4.002966042e-15
511	4.002966042e-15
512	4.002966042e-15
513	4.002966042e-15
514	4.002966042e-15
515	4.002966042e-15
516	4.002966042e-15
517	4.002966042e-15
518	4.002966042e-15
519	4.002966042e-15
520	4.002966042e-15
521	4.002966042e-15
522	4.002966042e-15
523	4.002966042e-15
524	4.002966042e-15
525	4.002966042e-15
526	4.002966042e-15
527	4.002966042e-15
528	4.002966042e-15
529	4.002966042e-15
530	4.002966042e-15
531	4.002966042e-15
532	4.002966042e-15
533	4.002966042e-15
534	4.002966042e-15
535	4.002966042e-15
536	4.002966042e-15
537	4.002966042e-15
538	4.002966042e-15
539	4.002966042e-15
540	4.002966042e-15
541	4.002966042e-15
542	4.002966042e-15
543	4.002966042e-15
544	4.002966042e-15
545	4.002966042e-15
546	4.002966042e-15
547	4.002966042e-15
548	4.002966042e-15
549	4.002966042e-15
550	4.002966042e-15
551	4.002966042e-15
552	4.002966042e-15
553	4.002966042e-15
554	4.002966042e-15
555	4.002966042e-15
556	4.002966042e-15
557	4.002966042e-15
558	4.002966042e-15
559	4.002966042e-15
560	4.002966042e-15
561	4.002966042e-15
562	4.002966042e-15
563	4.002966042e-15
564	4.002966042e-15
565	4.002966042e-15
566	4.002966042e-15
567	4.002966042e-15
568	4.002966042e-15
569	4.002966042e-15
570	4.002966042e-15
571	4.002966042e-15
572	4.002966042e-15
573	4.002966042e-15
574	4.002966042e-15
575	4.002966042e-15
576	4.002966042e-15
