iter	Passed	Remaining
0	0	372
1	0	466
2	1	421
3	1	474
4	2	461
5	2	445
6	3	498
7	4	496
8	4	506
9	5	528
10	5	531
11	7	626
12	8	648
13	9	693
14	10	712
15	11	708
16	12	705
17	13	739
18	16	837
19	17	861
20	18	867
21	19	865
22	20	865
23	21	889
24	23	907
25	23	893
26	25	915
27	25	895
28	26	892
29	27	885
30	28	882
31	28	876
32	29	874
33	30	865
34	31	854
35	31	844
36	32	838
37	32	825
38	33	813
39	33	800
40	33	790
41	34	778
42	34	766
43	34	755
44	35	745
45	35	734
46	35	724
47	36	714
48	36	705
49	36	697
50	37	688
51	37	682
52	37	673
53	38	665
54	38	657
55	38	649
56	38	641
57	39	634
58	39	626
59	39	619
60	39	612
61	40	605
62	40	598
63	40	592
64	40	586
65	40	580
66	41	575
67	41	571
68	41	565
69	42	559
70	42	554
71	42	548
72	42	543
73	43	538
74	43	535
75	43	531
76	43	526
77	44	522
78	44	518
79	44	514
80	44	510
81	45	505
82	45	503
83	45	499
84	46	497
85	46	493
86	46	491
87	47	489
88	47	486
89	47	483
90	48	480
91	48	477
92	48	474
93	48	470
94	49	467
95	49	464
96	49	460
97	49	457
98	49	454
99	50	451
100	50	448
101	50	445
102	50	442
103	51	439
104	51	437
105	51	434
106	51	431
107	51	429
108	52	426
109	52	423
110	52	421
111	52	419
112	53	416
113	53	414
114	53	411
115	53	409
116	53	407
117	54	405
118	54	402
119	54	400
120	54	398
121	55	398
122	55	396
123	55	394
124	56	393
125	56	391
126	56	389
127	56	387
128	57	385
129	57	383
130	57	384
131	58	382
132	58	381
133	58	379
134	58	377
135	59	375
136	59	373
137	59	372
138	59	370
139	60	368
140	60	366
141	60	365
142	60	364
143	60	362
144	61	360
145	61	359
146	61	357
147	61	355
148	62	354
149	62	352
150	62	351
151	62	349
152	62	348
153	63	346
154	63	345
155	63	344
156	63	342
157	64	341
158	64	339
159	64	338
160	64	336
161	64	335
162	65	334
163	65	333
164	65	331
165	65	330
166	65	329
167	66	327
168	66	326
169	66	325
170	66	324
171	67	323
172	67	322
173	67	321
174	68	321
175	68	320
176	68	318
177	68	317
178	69	316
179	69	316
180	69	315
181	69	314
182	70	313
183	70	312
184	70	311
185	70	310
186	71	309
187	71	308
188	71	307
189	71	306
190	72	305
191	72	304
192	72	303
193	72	302
194	73	301
195	73	300
196	73	300
197	74	299
198	74	299
199	74	298
200	74	297
201	75	296
202	75	295
203	75	294
204	75	293
205	76	293
206	76	293
207	76	292
208	76	291
209	77	290
210	77	289
211	77	288
212	77	287
213	78	286
214	78	286
215	78	285
216	78	284
217	79	283
218	79	282
219	79	283
220	80	282
221	80	282
222	80	281
223	81	281
224	81	280
225	81	280
226	82	279
227	82	279
228	82	278
229	82	277
230	83	276
231	83	276
232	83	275
233	83	274
234	84	273
235	84	273
236	84	272
237	84	271
238	85	271
239	85	270
240	85	269
241	86	269
242	86	268
243	86	267
244	86	267
245	86	266
246	87	265
247	87	265
248	87	264
249	87	263
250	88	262
251	88	262
252	88	261
253	88	260
254	89	260
255	89	259
256	89	258
257	89	258
258	89	257
259	90	256
260	90	256
261	90	255
262	90	254
263	91	254
264	91	254
265	91	253
266	92	253
267	92	252
268	92	251
269	92	251
270	93	250
271	93	250
272	93	249
273	94	249
274	94	249
275	94	248
276	94	247
277	95	247
278	95	246
279	95	246
280	95	245
281	96	245
282	96	244
283	96	244
284	97	243
285	97	242
286	97	242
287	97	241
288	98	241
289	98	240
290	98	240
291	98	239
292	99	238
293	99	238
294	99	237
295	99	237
296	100	236
297	100	236
298	100	235
299	100	234
300	100	234
301	101	233
302	101	233
303	101	232
304	101	232
305	102	231
306	102	231
307	102	230
308	102	229
309	103	229
310	103	228
311	103	228
312	103	228
313	104	227
314	104	227
315	104	226
316	104	226
317	105	225
318	105	225
319	105	224
320	106	224
321	106	224
322	106	223
323	107	223
324	107	222
325	107	222
326	107	221
327	107	221
328	108	220
329	108	219
330	108	219
331	108	218
332	109	218
333	109	218
334	109	217
335	109	216
336	110	216
337	110	216
338	110	216
339	111	216
340	111	215
341	111	215
342	112	214
343	112	214
344	112	213
345	112	213
346	113	212
347	113	212
348	113	211
349	113	211
350	114	210
351	114	210
352	114	209
353	114	209
354	114	208
355	115	208
356	115	207
357	115	207
358	116	207
359	116	206
360	116	206
361	116	205
362	117	205
363	117	205
364	117	204
365	117	204
366	118	204
367	118	203
368	118	203
369	119	202
370	119	202
371	119	201
372	119	201
373	120	201
374	120	200
375	120	200
376	120	199
377	121	199
378	121	198
379	121	198
380	121	197
381	121	197
382	122	196
383	122	196
384	122	195
385	122	195
386	123	194
387	123	194
388	123	193
389	123	193
390	123	193
391	124	192
392	124	192
393	124	191
394	124	191
395	125	191
396	125	190
397	125	190
398	126	189
399	126	189
400	126	188
401	126	188
402	126	188
403	127	187
404	127	187
405	127	186
406	128	186
407	128	186
408	128	186
409	129	185
410	129	185
411	129	185
412	130	185
413	130	184
414	130	184
415	131	184
416	131	183
417	131	183
418	131	182
419	132	182
420	132	182
421	132	181
422	132	181
423	133	180
424	133	180
425	133	179
426	133	179
427	134	179
428	134	178
429	134	178
430	134	177
431	134	177
432	135	176
433	135	176
434	135	176
435	135	175
436	136	175
437	136	174
438	136	174
439	136	174
440	136	173
441	137	173
442	137	172
443	138	172
444	138	172
445	138	172
446	139	172
447	139	171
448	139	171
449	139	170
450	140	170
451	140	170
452	140	169
453	140	169
454	141	169
455	141	168
456	141	168
457	142	168
458	142	167
459	142	167
460	143	167
461	143	167
462	144	167
463	144	166
464	144	166
465	144	166
466	145	165
467	145	165
468	145	164
469	145	164
470	146	164
471	146	163
472	146	163
473	146	162
474	147	162
475	147	162
476	148	162
477	148	162
478	148	161
479	149	161
480	149	161
481	150	161
482	150	160
483	150	160
484	150	160
485	151	159
486	151	159
487	151	159
488	152	158
489	152	158
490	152	158
491	153	158
492	153	158
493	154	157
494	154	157
495	154	157
496	155	157
497	155	157
498	156	156
499	156	156
500	157	156
501	158	157
502	158	156
503	159	156
504	159	156
505	160	156
506	161	157
507	162	157
508	162	157
509	163	157
510	164	157
511	164	157
512	165	156
513	165	156
514	165	156
515	166	155
516	166	155
517	167	155
518	167	155
519	167	155
520	168	154
521	168	154
522	168	154
523	169	153
524	169	153
525	169	153
526	170	152
527	170	152
528	170	151
529	170	151
530	171	151
531	171	150
532	171	150
533	171	149
534	172	149
535	172	149
536	172	148
537	172	148
538	173	148
539	173	147
540	173	147
541	173	146
542	174	146
543	174	146
544	174	145
545	174	145
546	175	144
547	175	144
548	175	144
549	175	143
550	175	143
551	176	143
552	176	142
553	176	142
554	176	141
555	177	141
556	177	141
557	177	140
558	177	140
559	178	139
560	178	139
561	178	139
562	178	138
563	179	138
564	179	138
565	179	137
566	179	137
567	180	136
568	180	136
569	180	136
570	180	135
571	181	135
572	181	135
573	181	134
574	181	134
575	181	133
576	182	133
577	182	133
578	182	132
579	182	132
580	183	132
581	183	131
582	183	131
583	183	130
584	184	130
585	184	130
586	184	129
587	184	129
588	184	129
589	185	128
590	185	128
591	185	127
592	185	127
593	186	127
594	186	126
595	186	126
596	186	126
597	187	125
598	187	125
599	187	125
600	187	124
601	188	124
602	188	123
603	188	123
604	188	123
605	189	122
606	189	122
607	189	122
608	189	121
609	189	121
610	190	121
611	190	120
612	191	120
613	191	120
614	191	119
615	191	119
616	191	119
617	192	118
618	192	118
619	192	118
620	192	117
621	193	117
622	193	117
623	193	116
624	193	116
625	194	115
626	194	115
627	194	115
628	194	114
629	195	114
630	195	114
631	195	113
632	195	113
633	196	113
634	196	112
635	196	112
636	196	112
637	197	111
638	197	111
639	197	111
640	198	110
641	198	110
642	198	110
643	198	109
644	199	109
645	199	109
646	199	108
647	199	108
648	200	108
649	200	107
650	200	107
651	200	107
652	201	106
653	201	106
654	201	106
655	201	105
656	202	105
657	202	105
658	202	104
659	203	104
660	203	104
661	203	103
662	203	103
663	204	103
664	204	102
665	204	102
666	204	102
667	205	101
668	205	101
669	205	101
670	205	100
671	206	100
672	206	100
673	206	99
674	206	99
675	207	99
676	207	98
677	207	98
678	207	98
679	208	97
680	208	97
681	208	97
682	208	96
683	209	96
684	209	96
685	209	95
686	209	95
687	210	95
688	210	94
689	210	94
690	210	94
691	210	93
692	211	93
693	211	93
694	211	92
695	211	92
696	212	92
697	212	92
698	213	91
699	213	91
700	214	91
701	214	91
702	215	90
703	215	90
704	215	90
705	216	90
706	216	89
707	216	89
708	216	89
709	217	88
710	217	88
711	217	88
712	217	87
713	218	87
714	218	87
715	218	86
716	219	86
717	219	86
718	220	86
719	220	85
720	221	85
721	221	85
722	221	84
723	221	84
724	222	84
725	222	83
726	222	83
727	223	83
728	223	83
729	223	82
730	223	82
731	224	82
732	224	81
733	224	81
734	225	81
735	225	80
736	226	80
737	226	80
738	226	80
739	227	79
740	227	79
741	227	79
742	228	78
743	228	78
744	228	78
745	228	77
746	229	77
747	229	77
748	230	77
749	230	76
750	230	76
751	231	76
752	231	76
753	232	75
754	232	75
755	232	75
756	233	74
757	233	74
758	233	74
759	234	73
760	234	73
761	234	73
762	234	72
763	234	72
764	235	72
765	235	71
766	235	71
767	235	71
768	236	70
769	236	70
770	237	70
771	237	70
772	238	69
773	238	69
774	238	69
775	239	69
776	239	68
777	240	68
778	240	68
779	240	67
780	240	67
781	241	67
782	241	66
783	241	66
784	241	66
785	241	65
786	242	65
787	242	65
788	242	64
789	243	64
790	243	64
791	243	64
792	244	63
793	244	63
794	245	63
795	245	62
796	245	62
797	245	62
798	246	61
799	246	61
800	246	61
801	246	60
802	247	60
803	247	60
804	247	59
805	247	59
806	248	59
807	248	59
808	248	58
809	249	58
810	249	58
811	250	57
812	250	57
813	251	57
814	251	57
815	251	56
816	252	56
817	252	56
818	252	55
819	252	55
820	253	55
821	253	54
822	253	54
823	253	54
824	254	53
825	254	53
826	254	53
827	255	52
828	255	52
829	256	52
830	256	52
831	257	51
832	257	51
833	257	51
834	257	50
835	258	50
836	258	50
837	258	50
838	258	49
839	259	49
840	259	49
841	259	48
842	259	48
843	260	48
844	260	47
845	260	47
846	261	47
847	261	46
848	262	46
849	262	46
850	262	46
851	263	45
852	263	45
853	264	45
854	264	44
855	264	44
856	264	44
857	265	43
858	265	43
859	265	43
860	265	42
861	266	42
862	266	42
863	266	41
864	266	41
865	267	41
866	267	41
867	268	40
868	268	40
869	269	40
870	269	39
871	269	39
872	270	39
873	270	38
874	270	38
875	270	38
876	270	38
877	271	37
878	271	37
879	271	37
880	271	36
881	272	36
882	272	36
883	272	35
884	273	35
885	273	35
886	274	34
887	274	34
888	275	34
889	275	34
890	275	33
891	276	33
892	276	33
893	276	32
894	276	32
895	277	32
896	277	31
897	277	31
898	277	31
899	278	30
900	278	30
901	278	30
902	278	29
903	279	29
904	279	29
905	280	29
906	280	28
907	280	28
908	281	28
909	281	27
910	282	27
911	282	27
912	282	26
913	282	26
914	283	26
915	283	25
